NAME311,LOCATION,BOROUGH,TYPECATEGORY,ACRES,URL
Rockaway Community Park,"Conch, Sommerville & Norton Basins, Almeda Ave",Q,Community Park,255.4,http://www.nycgovparks.org/parks/Q371/
Roger Morris Park,"Jumel Terr To Edgecombe Av, W 160 St To W 162 St",M,Historic House Park,1.524,http://www.nycgovparks.org/parks/M073/
Roy Wilkins Recreation Center,"Merrick Blvd. bet. 115 Ave., 116 Ave., and Baisley Blvd.",Q,Community Park,56.831,http://www.nycgovparks.org/parks/Q448/
Seton Park,"W 232 St , Independence Av , W 235 St ,",X,Community Park,11.689,http://www.nycgovparks.org/parks/X201/
Sheltering Arms Playground,"W. 126 St. to W. 129 St., Amsterdam Ave. to Old Broadway",M,Community Park,1.43,http://www.nycgovparks.org/parks/M190/
Shore Park and Parkway,"4 Ave., Shore Rd., Belt Pkwy., Verrazano Bridge",B,Community Park,58,http://www.nycgovparks.org/parks/B082/
Silver Lake Park,"Victory Blvd., Clove Rd., Forest Ave.",R,Community Park,205.977,http://www.nycgovparks.org/parks/R022/
Snug Harbor Cultural Center,"Richmond Ter., Tysen St., Kissel Ave., Henderson Ave.",R,Historic House Park,83.3,http://www.nycgovparks.org/parks/R116/
Soundview Park,"Bronx River, Bronx River Ave. bet. Lafayette Ave., Surf Dr.",X,Flagship Park,269.415,http://www.nycgovparks.org/parks/X118/
Spring Creek Park,"Shore Pkwy and Seaview Ave., Schenk Ave.",B,Community Park,42.583,http://www.nycgovparks.org/parks/B371/
Springfield Park,"149 Av, Springfield Bl, 145 Rd, 184 St",Q,Community Park,23.543,http://www.nycgovparks.org/parks/Q107/
Steeplechase Park,"Surf Ave. between W. 16 St. and W. 19 St., Public Beach",B,Community Park,10.01,http://www.nycgovparks.org/parks/B369/
St. John's Park,"Troy Ave., Bergen St., Prospect Pl., Schenectady Ave.",B,Community Park,9.04,http://www.nycgovparks.org/parks/B245/
St. Mary's Park,St Mary's St bet. St Ann's Av and Jackson Av,X,Community Park,35.311,http://www.nycgovparks.org/parks/X045/
Sunset Park,"41 St., 44 St., bet. 5 Ave. and 7 Ave.",B,Community Park,24.498,http://www.nycgovparks.org/parks/B087/
